Country,Year,corruption_and_economic_crime,intentional_homicide,violent_and_sexual_crime,firearms_trafficking,access_and_functioning_of_justice
Azerbaijan,2020,1561.5357142857142,27.32500159958225,78668.8202208251,1358.5555668342895,37.54646045004501
Azerbaijan,2021,2566.5625,24.79250342419995,2650.753424657534,556.6895526334791,41.90549636150069
Azerbaijan,2022,49123.77303165743,32.26252938725645,2.0,21135.666013343925,12761.263906601092
Azerbaijan,2023,12236.097552191706,37.03135764272744,1037.212765957447,5953.918970681158,1061.5444328835956
Azerbaijan,2024,30305.36487840688,59.2,15667.5,34102.59788214656,14206.602870240526
Bahamas,2019,619.2857142857143,13.539094439375829,41417.36073862665,290.33191172480383,274.55121533819647
Bahamas,2020,1177.2058823529412,10.274112757341909,53013.589815762665,1060.5199786893324,179.89947023336038
Bahamas,2021,690.7941176470588,18.352618787926662,90055.09141578342,1624.64309950892,157.37130891130565
Bahamas,2022,1552.65,29.69448418427148,249.55357142857144,2907.224797985267,172.8781582231256
Bahrain,2019,45888.645894872774,0.9122382858124802,19754.123034982105,11594.72026313233,5531.2744915836465
Bahrain,2020,1.0,1.0,1.0,1.0,1.0
Bahrain,2021,23501.85431103233,0.5604557879277454,2028.6875,18960.16515069852,1166.0845227465206
Bahrain,2022,42012.7089727024,1.1073065520819243,38140.036471173036,53266.280426039506,5360.506357848004
Bangladesh,2020,294.0,840.6342157829488,7779.119353046823,22010.08976001939,4414.482935556449
Barbados,2019,44813.26315789474,9.603453105500442,47609.93965125388,271.0266561908,96.92606438306233
Barbados,2020,114918.40625,9.239527187703708,68881.13221217145,193.74558870065707,269.6430290594892
Barbados,2021,59501.85294117647,7.540485594855991,8901.088527160018,177.8468865854001,205.1108576351293
Barbados,2022,28449.4,7.956648721749881,14333.777845174369,276.0463704096496,194.4044406976845
Barbados,2023,2065.9464583785993,2.9403732812912566,13776.857821534271,20575.747436979127,220.2812346518569
Belarus,2019,110235.41666666669,25.257359953177133,113334.85115482192,291.5991825687197,187.82692430519765
Belgium,2019,1681.6666666666667,11.165861187774649,1296.4444444444443,44923.272262670514,9455.327422554645
Belgium,2020,2827.5333333333333,7.255171344269976,88571.27000356508,45356.08804425822,8652.584232776178
Belgium,2021,1766.258064516129,11.462368918784,29618.184948124297,41124.09703391699,9379.533898897114
Belgium,2022,1491.5666666666666,7.47660518094948,39325.36188988504,34638.136879674166,10011.345631954457
Belgium,2023,727.35,721.8011955773475,7264.938461538461,11062.177118079557,10114.79168404424
Belize,2019,67077.38461538461,17.802489519617094,29049.491092319153,85.40578503905499,228.3317622553371
Belize,2020,61017.77777777778,12.425520681492978,20718.877578531778,405.94769509133937,121.73044430809814
Belize,2021,77497.4,14.792333458723707,126217.70092830666,394.136443676751,47.40399002247389
